,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
c0,11,11,0,152,28,15,0,34,0,43
c1,0,175,4,0,0,3,1,0,0,92
c2,0,10,140,0,0,10,18,4,11,84
c3,30,38,0,55,8,43,0,0,0,94
c4,6,74,4,87,15,51,0,0,1,43
c5,0,1,0,2,0,182,0,0,0,93
c6,0,20,2,0,0,25,144,4,15,50
c7,0,2,42,0,0,0,1,134,11,42
c8,5,7,11,1,0,40,89,78,3,25
c9,0,29,0,34,61,25,5,3,0,70
