,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
c0,243,10,0,8,12,11,1,2,4,3
c1,41,92,1,8,8,42,10,0,73,0
c2,6,0,201,0,2,6,3,0,59,0
c3,5,2,0,146,32,79,0,0,1,3
c4,25,0,3,2,181,55,0,1,14,0
c5,4,0,0,0,2,270,0,2,0,0
c6,1,1,40,5,19,1,91,0,102,0
c7,0,0,33,0,3,2,0,133,61,0
c8,9,0,71,0,6,7,29,17,117,3
c9,114,4,11,9,11,11,1,13,13,40
